fold,train,oos,train_spread_sharpe,w_5d,w_10d,w_15d,w_20d,w_30d,w_50d,w_100d,w_200d,w_365d,oos_5d_spread_sharpe,oos_5d_long_avg,oos_5d_spread_avg,oos_20d_spread_sharpe,oos_20d_long_avg,oos_20d_spread_avg,oos_60d_spread_sharpe,oos_60d_long_avg,oos_60d_spread_avg,oos_120d_spread_sharpe,oos_120d_long_avg,oos_120d_spread_avg,oos_250d_spread_sharpe,oos_250d_long_avg,oos_250d_spread_avg
1,2007-06-15/2010-06-14,2010-06-15/2011-06-14,-0.24694456160068512,0.15726317662740072,0.4374573085989786,0.1157680964234252,0.034492597497362734,0.11337715271706464,0.014091028960604811,0.04131337062494746,0.07457276947132527,0.011664499078890625,-0.13340413570404053,0.003219028702005744,-0.0025065764784812927,-0.07020585983991623,0.023279795423150063,-0.002487419405952096,0.24034929275512695,0.06486602127552032,0.012664229609072208,0.35688886046409607,0.08955371379852295,0.0321628674864769,0.7394751310348511,0.08311589807271957,0.08282527327537537
2,2008-06-15/2011-06-14,2011-06-15/2012-06-14,-0.26677370071411133,0.07175264992295646,0.052792252614742095,0.38302926731666626,0.21559758321414368,0.11305773673023789,0.04854394767418003,0.0512047883117444,0.011668473958696872,0.05235330025663234,-0.09660711884498596,-0.004811102990061045,-0.005657050292938948,-0.16741736233234406,-0.014117952436208725,-0.01556664239615202,-0.20294946432113647,-0.017616650089621544,-0.02710147388279438,-0.2144923359155655,0.0015540985623374581,-0.03975975140929222,0.1055363118648529,0.10440634191036224,0.02814912050962448
3,2009-06-15/2012-06-14,2012-06-15/2013-06-14,-0.13940127193927765,0.010580702864366558,0.008212349355843866,0.13290114522533983,0.08602276838668672,0.02676352859640382,0.17754573518523625,0.08328734671678294,0.1593093428707398,0.31537708079860016,0.10985046625137329,0.005200530868023634,0.0035743825137615204,0.38806822896003723,0.02403285540640354,0.02413365989923477,0.6143930554389954,0.08532583713531494,0.07887116819620132,0.9398781061172485,0.1843031346797943,0.17212970554828644,1.0829925537109375,0.38843220472335815,0.3265238106250763
4,2010-06-15/2013-06-14,2013-06-15/2014-06-14,0.3721746802330017,0.04835712868217435,0.027303039322680463,0.038007489322641815,0.12630563007157689,0.49600991553308876,0.031205103656785412,0.04740736369207848,0.01878264812587874,0.16662168159309504,-0.0026691609527915716,0.005242507439106703,-6.83233083691448e-05,-0.012736151926219463,0.018918264657258987,-0.0005476622027345002,0.26996171474456787,0.05586111173033714,0.019849054515361786,0.8817451596260071,0.09713460505008698,0.08772464841604233,1.0206615924835205,0.15404486656188965,0.14760562777519226
5,2011-06-15/2014-06-14,2014-06-15/2015-06-14,0.35439831018447876,0.06884889470148302,0.018202290267873462,0.04334410441283706,0.07506266869975944,0.12995972670169403,0.0038322074780920297,0.06736932357289713,0.04945852593486878,0.5439222582304951,0.05415889248251915,0.0016022322233766317,0.0018893149681389332,0.16681785881519318,0.008766831830143929,0.010279218666255474,0.7534833550453186,0.03268715366721153,0.06882920861244202,1.1894340515136719,0.04829617962241173,0.13375991582870483,1.0098645687103271,-0.0012926884228363633,0.16941045224666595
6,2012-06-15/2015-06-14,2015-06-15/2016-06-14,0.5831265449523926,0.024923495995831685,0.08121855172019059,0.2650701373149078,0.06969782306625326,0.04580211575160506,0.05638764050981133,0.048636078277270976,0.06021698138370318,0.3480471759804261,-0.08112872391939163,-0.0039070784114301205,-0.004220923874527216,0.004272182937711477,-0.007765281945466995,0.00038670646608807147,-0.23769429326057434,-0.014452545903623104,-0.036482710391283035,-0.3204636871814728,-0.008890947327017784,-0.07218585163354874,-0.6413328647613525,0.06166044622659683,-0.2033061683177948
7,2013-06-15/2016-06-14,2016-06-15/2017-06-14,0.18001577258110046,0.02077396910890883,0.024511088517090912,0.05937547819018207,0.07639062327012118,0.016748935953130355,0.049871554298525085,0.21595603573458885,0.41942636097536695,0.11694595395208555,-0.008665031753480434,0.003095208667218685,-0.0002719596668612212,0.004452966153621674,0.01316775381565094,0.00023977340606506914,0.2692844867706299,0.039335448294878006,0.025562018156051636,0.6410894989967346,0.10128387808799744,0.0833292007446289,1.4871472120285034,0.2542915940284729,0.20314140617847443
8,2014-06-15/2017-06-14,2017-06-15/2018-06-14,0.1608589142560959,0.11100372711969812,0.11100445858239358,0.11100471554271137,0.11100372711969812,0.11100393501611758,0.11100372711969812,0.11100372711969812,0.11196825526028685,0.11100372711969812,0.12220916152000427,0.00588857801631093,0.0029045508708804846,0.09860529750585556,0.017175735905766487,0.0046850405633449554,0.501249372959137,0.05732540786266327,0.02975042350590229,0.5983465313911438,0.09364945441484451,0.05341918021440506,0.20993830263614655,0.06669510900974274,0.02892400696873665
9,2015-06-15/2018-06-14,2018-06-15/2019-06-14,0.11857850849628448,0.05668831013004959,0.14258134453894658,0.053194716753137465,0.017870720788976637,0.166313051850828,0.09976193262352984,0.19741554023173935,0.2518680389876396,0.014306344095153033,-0.11399077624082565,-0.002232559025287628,-0.004606958478689194,-0.1545882225036621,-0.003673260798677802,-0.012059601955115795,-0.015516572631895542,0.0017201966838911176,-0.002159097697585821,0.21678020060062408,0.01982473023235798,0.030357923358678818,0.4473109841346741,0.07311336696147919,0.10415364801883698
10,2016-06-15/2019-06-14,2019-06-15/2020-06-14,0.22853520512580872,0.10629070955778142,0.06821384670215669,0.030599872576742397,0.021232936527881614,0.12394225834239891,0.07746629167870366,0.17641042227681178,0.22139030802703064,0.17445335431049291,-0.019084008410573006,-4.4968677684664726e-05,-0.002203701762482524,-0.04957551881670952,0.0029302986804395914,-0.0085598174482584,-0.18566358089447021,0.01932154968380928,-0.06575828045606613,0.2434270977973938,0.09600739926099777,0.08592637628316879,0.09450717270374298,0.4417291581630707,0.09154456108808517
11,2017-06-15/2020-06-14,2020-06-15/2021-06-14,-0.006147637497633696,0.21534726504076943,0.01385008675992369,0.02810745370150591,0.08599597550933193,0.1852005018258611,0.03557389144719864,0.017130584818255655,0.35060830281664124,0.06818593808051242,0.19344280660152435,0.015683745965361595,0.011422112584114075,0.24624335765838623,0.04615291580557823,0.03410598263144493,0.36762288212776184,0.1356286257505417,0.0863242894411087,0.1333506852388382,0.24613706767559052,0.05792499706149101,0.0237085223197937,0.2782737612724304,0.01610233262181282
12,2018-06-15/2021-06-14,2021-06-15/2022-06-14,0.09054040163755417,0.09639111990660734,0.0025404444188113144,0.1992561095579383,0.006566567562873321,0.02195698119347331,0.15352183241642753,0.12911598674889316,0.061526918527307066,0.32912403966766857,0.16553379595279694,0.0032424686942249537,0.008835289627313614,0.16858485341072083,0.000313885131618008,0.018955329433083534,0.16119803488254547,-0.026087775826454163,0.03032905049622059,0.08410505205392838,-0.07543601095676422,0.017926499247550964,-0.14759734272956848,-0.14773304760456085,-0.03929821401834488
13,2019-06-15/2022-06-14,2022-06-15/2023-06-14,0.11370096355676651,0.10191914718515134,0.04519435398945884,0.014611841051899298,0.08763084888453777,0.12022023742410909,0.17001145922331862,0.10952595084247849,0.2911565074571128,0.05972965394193393,-0.18627291917800903,-0.0021766917780041695,-0.0093536963686347,-0.284922331571579,-1.6108451745822094e-05,-0.028341863304376602,-0.3393491506576538,0.0052192541770637035,-0.04330983757972717,-0.36613520979881287,0.0018303366377949715,-0.06298031657934189,-0.006396599113941193,0.17499583959579468,-0.002580756787210703
14,2020-06-15/2023-06-14,2023-06-15/2024-06-14,0.18203295767307281,0.04954578279617341,0.2729162999938505,0.14835734179275165,0.04607434331195728,0.024797701099850914,0.14289009634897265,0.19826571524258427,0.11106868376814324,0.006084035645716101,0.07012737542390823,0.0034072836861014366,0.0021175791043788195,0.15901975333690643,0.012851051054894924,0.009204664267599583,0.10174109786748886,0.03135817125439644,0.012721949256956577,0.9208816885948181,0.13145262002944946,0.09493541717529297,1.4522866010665894,0.2767793536186218,0.2586258053779602
15,2021-06-15/2024-06-14,2024-06-15/2025-06-14,0.1473497599363327,0.017106039343296076,0.06412118986047992,0.013143562182738506,0.13012151506914393,0.0715173050828391,0.008496552235212715,0.167727633356924,0.5189894598004574,0.008776743068908337,-0.09691955149173737,0.0017396420007571578,-0.004674417898058891,-0.005970540922135115,0.013530650176107883,-0.0006617226172238588,-0.011064806021749973,0.04458330199122429,-0.002068791538476944,0.12923358380794525,0.11846401542425156,0.033981192857027054,0.2992514371871948,0.14857935905456543,0.1298779547214508
